Date,Open,High,Low,Close,Volume
1973-01-02,108.2242,108.2242,108.2242,108.2242,0
1973-01-03,108.2934,108.2934,108.2934,108.2934,0
1973-01-04,108.2632,108.2632,108.2632,108.2632,0
1973-01-05,108.2548,108.2548,108.2548,108.2548,0
1973-01-08,108.3818,108.3818,108.3818,108.3818,0
1973-01-09,108.3796,108.3796,108.3796,108.3796,0
1973-01-10,108.2704,108.2704,108.2704,108.2704,0
1973-01-11,108.2439,108.2439,108.2439,108.2439,0
1973-01-12,108.2868,108.2868,108.2868,108.2868,0
1973-01-15,108.3487,108.3487,108.3487,108.3487,0
1973-01-16,108.3519,108.3519,108.3519,108.3519,0
1973-01-17,108.3529,108.3529,108.3529,108.3529,0
1973-01-18,108.3904,108.3904,108.3904,108.3904,0
1973-01-19,108.4326,108.4326,108.4326,108.4326,0
1973-01-22,108.2295,108.2295,108.2295,108.2295,0
1973-01-23,108.1966,108.1966,108.1966,108.1966,0
1973-01-24,108.0976,108.0976,108.0976,108.0976,0
1973-01-25,108.0391,108.0391,108.0391,108.0391,0
1973-01-26,108.0148,108.0148,108.0148,108.0148,0
1973-01-29,107.7834,107.7834,107.7834,107.7834,0
1973-01-30,107.6457,107.6457,107.6457,107.6457,0
1973-01-31,107.6609,107.6609,107.6609,107.6609,0
1973-02-01,107.4913,107.4913,107.4913,107.4913,0
1973-02-02,107.5875,107.5875,107.5875,107.5875,0
1973-02-05,107.5923,107.5923,107.5923,107.5923,0
1973-02-06,107.5147,107.5147,107.5147,107.5147,0
1973-02-07,107.4696,107.4696,107.4696,107.4696,0
1973-02-08,107.349,107.349,107.349,107.349,0
1973-02-09,106.8249,106.8249,106.8249,106.8249,0
1973-02-15,101.172,101.172,101.172,101.172,0
1973-02-16,101.2201,101.2201,101.2201,101.2201,0
1973-02-20,101.5318,101.5318,101.5318,101.5318,0
1973-02-21,101.4009,101.4009,101.4009,101.4009,0
1973-02-22,100.9307,100.9307,100.9307,100.9307,0
1973-02-23,100.4419,100.4419,100.4419,100.4419,0
1973-02-26,100.7049,100.7049,100.7049,100.7049,0
1973-02-27,100.5559,100.5559,100.5559,100.5559,0
1973-02-28,100.1502,100.1502,100.1502,100.1502,0
1973-03-01,99.9151,99.9151,99.9151,99.9151,0
1973-03-06,99.7154,99.7154,99.7154,99.7154,0
1973-03-07,99.6535,99.6535,99.6535,99.6535,0
1973-03-08,99.4243,99.4243,99.4243,99.4243,0
1973-03-09,99.4463,99.4463,99.4463,99.4463,0
1973-03-12,99.2581,99.2581,99.2581,99.2581,0
1973-03-13,99.3251,99.3251,99.3251,99.3251,0
1973-03-14,99.3477,99.3477,99.3477,99.3477,0
1973-03-15,99.339,99.339,99.339,99.339,0
1973-03-16,100.0096,100.0096,100.0096,100.0096,0
1973-03-19,100.3217,100.3217,100.3217,100.3217,0
1973-03-20,100.2734,100.2734,100.2734,100.2734,0
1973-03-21,100.3074,100.3074,100.3074,100.3074,0
1973-03-22,100.3403,100.3403,100.3403,100.3403,0
1973-03-23,100.5449,100.5449,100.5449,100.5449,0
1973-03-26,100.4594,100.4594,100.4594,100.4594,0
1973-03-27,100.4158,100.4158,100.4158,100.4158,0
1973-03-28,100.5169,100.5169,100.5169,100.5169,0
1973-03-29,100.5877,100.5877,100.5877,100.5877,0
1973-03-30,100.7986,100.7986,100.7986,100.7986,0
1973-04-02,100.934,100.934,100.934,100.934,0
1973-04-03,101.0064,101.0064,101.0064,101.0064,0
1973-04-04,100.646,100.646,100.646,100.646,0
1973-04-05,100.5913,100.5913,100.5913,100.5913,0
1973-04-06,100.7374,100.7374,100.7374,100.7374,0
1973-04-09,100.776,100.776,100.776,100.776,0
1973-04-10,100.7722,100.7722,100.7722,100.7722,0
1973-04-11,100.6795,100.6795,100.6795,100.6795,0
1973-04-12,100.7659,100.7659,100.7659,100.7659,0
1973-04-13,100.7559,100.7559,100.7559,100.7559,0
1973-04-16,100.8549,100.8549,100.8549,100.8549,0
1973-04-17,100.7216,100.7216,100.7216,100.7216,0
1973-04-18,100.7715,100.7715,100.7715,100.7715,0
1973-04-19,100.8265,100.8265,100.8265,100.8265,0
1973-04-20,100.8529,100.8529,100.8529,100.8529,0
1973-04-23,100.8776,100.8776,100.8776,100.8776,0
1973-04-24,100.9625,100.9625,100.9625,100.9625,0
1973-04-25,100.9041,100.9041,100.9041,100.9041,0
1973-04-26,100.9797,100.9797,100.9797,100.9797,0
1973-04-27,100.972,100.972,100.972,100.972,0
1973-04-30,100.9402,100.9402,100.9402,100.9402,0
1973-05-01,100.9368,100.9368,100.9368,100.9368,0
1973-05-02,100.9108,100.9108,100.9108,100.9108,0
1973-05-03,100.9315,100.9315,100.9315,100.9315,0
1973-05-04,100.9615,100.9615,100.9615,100.9615,0
1973-05-07,100.961,100.961,100.961,100.961,0
1973-05-08,100.8811,100.8811,100.8811,100.8811,0
1973-05-09,100.7494,100.7494,100.7494,100.7494,0
1973-05-10,100.7575,100.7575,100.7575,100.7575,0
1973-05-11,100.7101,100.7101,100.7101,100.7101,0
1973-05-14,100.1114,100.1114,100.1114,100.1114,0
1973-05-15,99.4229,99.4229,99.4229,99.4229,0
1973-05-16,99.744,99.744,99.744,99.744,0
1973-05-17,99.919,99.919,99.919,99.919,0
1973-05-18,99.757,99.757,99.757,99.757,0
1973-05-21,99.1901,99.1901,99.1901,99.1901,0
1973-05-22,99.3476,99.3476,99.3476,99.3476,0
1973-05-23,99.4282,99.4282,99.4282,99.4282,0
1973-05-24,99.5563,99.5563,99.5563,99.5563,0
1973-05-25,99.6711,99.6711,99.6711,99.6711,0
1973-05-29,99.4146,99.4146,99.4146,99.4146,0
1973-05-30,99.0967,99.0967,99.0967,99.0967,0
1973-05-31,98.8659,98.8659,98.8659,98.8659,0
1973-06-01,98.6118,98.6118,98.6118,98.6118,0
1973-06-04,97.8781,97.8781,97.8781,97.8781,0
1973-06-05,97.9515,97.9515,97.9515,97.9515,0
1973-06-06,98.5628,98.5628,98.5628,98.5628,0
1973-06-07,98.6753,98.6753,98.6753,98.6753,0
1973-06-08,98.5236,98.5236,98.5236,98.5236,0
1973-06-11,98.5914,98.5914,98.5914,98.5914,0
1973-06-12,98.5083,98.5083,98.5083,98.5083,0
1973-06-13,98.7053,98.7053,98.7053,98.7053,0
1973-06-14,98.6206,98.6206,98.6206,98.6206,0
1973-06-15,98.4125,98.4125,98.4125,98.4125,0
1973-06-18,98.1108,98.1108,98.1108,98.1108,0
1973-06-19,98.2252,98.2252,98.2252,98.2252,0
1973-06-20,98.2132,98.2132,98.2132,98.2132,0
1973-06-21,98.0895,98.0895,98.0895,98.0895,0
1973-06-22,97.9562,97.9562,97.9562,97.9562,0
1973-06-25,97.9489,97.9489,97.9489,97.9489,0
1973-06-26,97.8543,97.8543,97.8543,97.8543,0
1973-06-27,97.6249,97.6249,97.6249,97.6249,0
1973-06-28,97.21,97.21,97.21,97.21,0
1973-07-02,96.6035,96.6035,96.6035,96.6035,0
